topic,keyword,definition
Computer Hardware,Hardware,The physical components of a computer system.
Computer Hardware,Software,Programs and instructions that control the hardware and perform tasks.
Computer Hardware,Input Device,"Hardware used to enter data into a computer (e.g. keyboard, mouse, scanner)."
Computer Hardware,Output Device,"Hardware that presents processed data (e.g. monitor, printer, actuator)."
Computer Hardware,Peripheral,"External device connected to a computer (e.g. printer, keyboard)."
Computer Hardware,Control Unit (CU),Directs and coordinates operations of the CPU; manages the Fetch–Decode–Execute cycle.
Computer Hardware,Memory Unit,"Stores data, instructions, and parts of the OS currently in use."
Computer Hardware,Arithmetic Logic Unit (ALU),Performs arithmetic and logical operations within the CPU.
Computer Hardware,Register,"A small, fast storage location within the CPU used to temporarily hold data or instructions."
Computer Hardware,Program Counter (PC),Holds the address of the next instruction to be executed.
Computer Hardware,Memory Address Register (MAR),Stores the memory address of data or an instruction to be accessed.
Computer Hardware,Memory Data Register (MDR),Temporarily holds data being transferred to or from memory.
Computer Hardware,Current Instruction Register (CIR),Holds the instruction currently being decoded or executed.
Computer Hardware,Accumulator (ACC),Temporarily stores results of arithmetic and logical operations.
Computer Hardware,Bus,"A set of parallel wires that carry data, addresses, or control signals between CPU components."
Computer Hardware,Data Bus,Transfers data between CPU and memory.
Computer Hardware,Address Bus,Carries the memory address of where data or instructions are located.
Computer Hardware,Control Bus,Carries control signals like read/write and interrupt requests.
Computer Hardware,Fetch–Decode–Execute Cycle,"Cycle by which the CPU retrieves, interprets, and executes instructions."
Computer Hardware,RAM,Volatile memory used to store data and programs currently in use. Allows read/write access.
Computer Hardware,ROM,Non-volatile memory containing permanent instructions like the bootstrap loader.
Computer Hardware,Virtual Memory,Uses secondary storage as temporary RAM when physical memory is full; slower access.
Computer Hardware,Von Neumann Architecture,Stores data and instructions together in one memory space using a single bus (causes bottleneck).
Computer Hardware,Harvard Architecture,"Uses separate memories and buses for data and instructions, allowing concurrent access."
Computer Hardware,Contemporary Processor,"Hybrid of Von Neumann and Harvard; uses cache, pipelining, and multiple cores."
Computer Hardware,CISC,"Complex Instruction Set Computer; many complex instructions, slower but easier to program."
Computer Hardware,RISC,"Reduced Instruction Set Computer; simple instructions, faster execution, efficient for embedded systems."
Computer Hardware,Clock Speed,"Rate of instruction cycles per second, measured in hertz (Hz)."
Computer Hardware,Cores,Independent processing units within a CPU that can run instructions simultaneously.
Computer Hardware,Cache,"Small, fast memory near CPU storing frequently used instructions/data to improve performance."
Computer Hardware,Pipelining,"Overlapping FDE stages to process multiple instructions simultaneously, increasing throughput."
Computer Hardware,Parallel Processing,Using multiple processors or cores to execute tasks simultaneously for higher performance.
Computer Hardware,Co-Processor,A secondary processor dedicated to specific tasks (e.g. GPU for graphics).
Computer Hardware,Hyper-Threading,Technology allowing one physical core to handle multiple threads simultaneously.
Computer Hardware,GPU,Graphics Processing Unit; performs parallel computations for graphics rendering and AI tasks.
Computer Hardware,Magnetic Storage,Uses magnetized regions on spinning disks to represent binary data (e.g. HDD).
Computer Hardware,Optical Storage,"Uses lasers to read/write data as pits and lands on discs (e.g. CD, DVD)."
Computer Hardware,Solid State Storage (SSD),Uses NAND flash memory chips to store data electronically without moving parts.
Software,Application Software,"Programs designed for end users to perform specific tasks such as word processing, databases, or web browsing."
Software,Word Processor,"Software for creating, editing, formatting, and printing text documents (e.g. Microsoft Word, Google Docs)."
Software,Database Management Software,"Used for storing, retrieving, and manipulating structured data (e.g. MySQL, Oracle)."
Software,Web Browser,"Enables users to access and navigate the web (e.g. Google Chrome, Firefox)."
Software,Graphics Manipulation Software,"Used to edit and manipulate images and graphics (e.g. Adobe Photoshop, GIMP)."
Software,Spreadsheet Software,"Used to organize, calculate, and analyze numerical data (e.g. Excel, Google Sheets)."
Software,Presentation Software,"Used for creating multimedia presentations (e.g. PowerPoint, Keynote)."
Software,Antivirus Software,"Protects the computer from malware, viruses, and other threats (e.g. Norton, McAfee)."
Software,Email Client,"Manages and accesses email from multiple providers (e.g. Outlook, Thunderbird)."
