topic,keyword,definition
Topic 1-testing,Trace Table,A table used to record the values of variables as an algorithm runs to help find errors.
Topic 1-testing,Test Data,Data used to check that a program works correctly.
Topic 1-testing,Normal Data,Test data that is typical and should be accepted by the program.
Topic 1-testing,Boundary Data,Test data at the extremes of acceptable ranges.
Topic 1-testing,Validation,Automated checks to ensure data entered is reasonable and meets given rules.
Topic 1-testing,Authentication,"Checking the identity of a user, for example with a username and password."
Topic 1-testing,Syntax Error,An error where code breaks the rules (grammar) of the programming language.
Topic 1-testing,Runtime Error,"An error that occurs while the program is running, such as dividing by zero."
Topic 1-testing,Logical Error,An error where the program runs but produces an incorrect result.
Topic 1-Computational Thinking-CT,Abstraction,Removing unnecessary detail so that only the important information remains.
Topic 1-Computational Thinking-CT,Algorithm,A step-by-step set of instructions for solving a problem.
Topic 1-Computational Thinking-CT,Decomposition,"Breaking a large problem down into smaller, more manageable parts."
Topic 1-Computational Thinking-CT,Pattern Recognition,Identifying similarities or trends within data or problems.
Topic 1-testing,Debugger,A tool that helps find and fix errors in code.
Topic 1-testing,Maintainability,"How easy it is to understand, modify and test code."
Topic 1-testing,Stepper,A debugging feature that allows code to be executed one line at a time.
Topic 1-testing,Breakpoints,Markers set in code where execution will pause during debugging so variables can be inspected.
Topic 1-validation,Length check,Validation that checks that input has the correct number of characters.
Topic 1-validation,Presence check,Validation that checks that an input has actually been entered and is not blank.
Topic 1-validation,Range check,Validation that checks that data falls within a specified range.
Topic 1-validation,Type check,"Validation that checks that data is of the correct data type, such as a number not text."
Topic 2-Data-Binary,Binary,The base-2 number system that uses only the digits 0 and 1; used internally by computers.
Topic 2-Data-storage,Bit,The smallest unit of data; can store a 0 or 1.
Topic 2-Data-storage,Nibble,A group of 4 bits.
Topic 2-Data-storage,Byte,A group of 8 bits; often used to store a single character.
Topic 2-Data-storage,Denary,The base-10 number system using digits 0–9.
Topic 2-Data-storage,Kibibyte (KiB),"1,024 bytes"
Topic 2-Data-storage,Mebibyte (MiB),"1,024 Kibibtyes"
Topic 2-Data-storage,Gibibyte (GiB),"1,024 Mebibytes"
Topic 2-Data-storage,Tebibyte (TiB),"1,024 Gibibytes"
Topic 2-Data-binary,Hexadecimal,The base-16 number system using digits 0–9 and A–F.
Topic 2-Data-binary,Unsigned Number,A binary number that can only represent positive values.
Topic 2-Data-binary,Signed Number,"A binary number that can represent positive and negative values, often using two's complement."
Topic 2-Data-binary,Two's Complement,A method for representing negative binary numbers by inverting bits and adding one.
Topic 2-Data-binary,Overflow Error,An error that occurs when a calculation produces a value that is too large to store in the allocated bits.
Topic 2-Data-binary,Binary Addition,Adding binary numbers using rules similar to denary addition with carrying.
Topic 2-Data-binary,Binary Shift,"Moving all bits in a binary number left or right, effectively multiplying or dividing by powers of two."
Topic 2-Data-binary,Logical Shift Left,Shifts all bits left and fills vacated bits with 0; multiplies the value by 2.
Topic 2-Data-binary,Logical Shift Right,Shifts all bits right and fills vacated bits with 0; divides the value by 2 (for unsigned numbers).
Topic 2-Data-binary,Most Significant Bit (MSB),The leftmost bit in a binary number; represents the highest value place and may store the sign.
Topic 2-Data-bitmap,Bitmap Graphic,"An image made up of a grid of pixels, each storing a colour value."
Topic 2-Data-bitmap,Pixel,The smallest addressable element of an image.
Topic 2-Data-bitmap,Resolution,"The number of pixels in an image, usually width × height or pixels per inch."
Topic 2-Data-bitmap,Colour Depth,The number of bits used to store the colour of each pixel.
Topic 2-Data-bitmap,Image File Size,"Calculated by width × height × colour depth (in bits), often divided by 8 to get bytes."
Topic 2-Data-char,Character Encoding,"A system that maps characters to binary values, such as ASCII or Unicode."
Topic 2-Data-char,ASCII,"A character set that uses 7 or 8 bits to represent letters, digits and symbols."
Topic 2-Data-char,Unicode,A character set that can represent characters from many languages using more bits than ASCII.
Topic 2-Data-compression,Compression,Reducing the size of a file so that it takes up less storage space or transmits more quickly.
Topic 2-Data-compression,Lossless Compression,Compression that does not lose any data; the original file can be perfectly reconstructed.
Topic 2-Data-compression,Lossy Compression,"Compression that removes some data to reduce file size, reducing quality."
Topic 2-Data-bitmap,Metadata,"Extra information stored with a file such as dimensions, colour depth or author."
Topic 2-Data-sound,Analogue Signal,A continuous signal that can take any value within a range.
Topic 2-Data-sound,Digital Signal,"A discrete signal that can only take certain values, such as 0 or 1."
Topic 2-Data-sound,Amplitude,"The height of a wave; in sound, it relates to loudness."
Topic 2-Data-sound,Sampling,Measuring the amplitude of an analogue signal at regular intervals.
Topic 2-Data-sound,Sample Rate,"The number of samples taken per second, measured in Hertz."
Topic 2-Data-sound,Sample Interval,The time between samples; the inverse of sample rate.
Topic 2-Data-sound,Bit Depth (Audio),The number of bits used for each sample; higher bit depth gives more precise sound.
Topic 2-Data-sound,Sound File Size,Calculated as sample rate × bit depth × number of channels × duration (in seconds).
Topic 3-Computers,Control Unit (CU),Part of the CPU that coordinates the activities of the CPU and decodes instructions.
Topic 3-Computers,Arithmetic Logic Unit (ALU),Part of the CPU that performs arithmetic calculations and logical operations.
Topic 3-Computers,CPU Registers,Very fast small memory locations inside the CPU for temporarily storing data and instructions.
Topic 3-Computers,Program Counter (PC),Register that holds the address of the next instruction to be fetched.
Topic 3-Computers,Accumulator,Register that stores the result of calculations performed by the ALU.
Topic 3-Computers,Address Bus,Carries memory addresses from the CPU to main memory; usually one-way.
Topic 3-Computers,Data Bus,"Carries data between the CPU, memory and other components."
Topic 3-Computers,Control Bus,Carries control signals used to coordinate the CPU and other components.
Topic 3-Computers,Clock Speed,"Number of cycles the CPU can carry out per second, measured in Hertz."
Topic 3-Computers,Clock Cycle,A single pulse of the CPU clock during which one or more operations may be carried out.
Topic 3-Computers,Bus Width,The number of bits that can be transferred simultaneously on a bus.
Topic 3-Computers,RAM,Volatile main memory used to store data and programs that are currently in use.
Topic 3-Computers,ROM,"Non-volatile memory that stores data needed to start the computer, such as boot instructions."
Topic 3-Computers-secondary,Secondary Storage,"Non-volatile storage such as hard drives, SSDs and optical discs used for long-term data storage."
Topic 3-Computers,Fetch-Decode-Execute Cycle,"The process by which the CPU fetches an instruction from memory, decodes it and executes it."
Topic 3-Computers-secondary,Magnetic Storage,Storage that uses magnetised areas on a disk to represent data.
Topic 3-Computers-secondary,Optical Storage,Storage that uses lasers to read and write data on optical media such as CDs or DVDs.
Topic 3-Computers-secondary,Solid-State Storage,"Storage that uses flash memory with no moving parts, such as SSDs and USB drives."
Topic 3-Computers-embedded,Embedded System,A computer system built into another device to perform one dedicated task.
Topic 3-Computers-embedded,General-Purpose Computer,A computer that can run many different programs and perform many tasks.
Topic 3-Computers-embedded,Microcontroller,"A small computer on a single chip containing a CPU, memory and input/output."
Topic 3-Computers-embedded,Actuator,A device that converts electrical signals into physical movement.
Topic 3-Computers-embedded,Sensor,"A device that detects or measures a physical property and records, indicates or responds to it."
Topic 3-Computers-progLang,High-Level Language,A programming language closer to natural language that is easier for humans to read and write.
Topic 3-Computers-progLang,Low-Level Language,"A programming language close to machine code, giving more control over hardware."
Topic 3-Computers-progLang,Machine Code,Binary instructions that can be executed directly by the CPU.
Topic 3-Computers-progLang,Assembly Language,Low-level language using mnemonics that correspond to machine code instructions.
Topic 3-Computers-progLang,Assembler,A translator that converts assembly language into machine code.
Topic 3-Computers-progLang,Program Translator,"Software that converts source code into machine code, such as a compiler or interpreter."
Topic 3-Computers-progLang,Compiler,Translates the whole source code into machine code before execution.
Topic 3-Computers-progLang,Interpreter,Translates and executes a program line by line.
Topic 3-Computers-progLang,Source Code,The original human-readable code written by a programmer.
Topic 3-Computers-progLang,Executable Code,Machine code produced by a translator that can be run by the CPU.
Topic 3-Computers-progLang,Operand,The part of an instruction that specifies the data or memory location to use.
Topic 3-Computers-progLang,Operator (Instruction),The part of an instruction that specifies the operation to perform.
Topic 3-Computers-progLang,Mnemonic,"Short human-readable codes used in assembly language, such as ADD or MOV."
Topic 3-Computers-software,Proprietary Software,Software owned by an organisation; source code is not available to the public.
Topic 3-Computers-software,Utility Software,"System software that performs maintenance tasks, such as backup or anti-virus."
Topic 3-Computers-software,Anti-Virus Software,Utility that detects and removes malware.
Topic 3-Computers-software,Compression Utility,Software used to reduce the size of files.
Topic 3-Computers-software,Firewall,Software or hardware that monitors and controls incoming and outgoing network traffic.
Topic 3-Computers-software,Backup Utility,Software that automates copying data to another location for safekeeping.
