topic,keyword,definition
1-CT,Trace Table,A table used to record the values of variables as an algorithm runs to help find errors.
1-CT,Test Data,Data used to check that a program works correctly.
1-CT,Normal Data,Test data that is typical and should be accepted by the program.
1-CT,Boundary Data,Test data at the extremes of acceptable ranges.
1-CT,Validation,Automated checks to ensure data entered is reasonable and meets given rules.
1-CT,Authentication,Checking the identity of a user, for example with a username and password.
1-CT,Syntax Error,An error where code breaks the rules (grammar) of the programming language.
1-CT,Runtime Error,An error that occurs while the program is running, such as dividing by zero.
1-CT,Logical Error,An error where the program runs but produces an incorrect result.
1-CT,Abstraction,Removing unnecessary detail so that only the important information remains.
1-CT,Algorithm,A step-by-step set of instructions for solving a problem.
1-CT,Decomposition,Breaking a large problem down into smaller, more manageable parts.
1-CT,Pattern Recognition,Identifying similarities or trends within data or problems.
1-CT,Debugger,A tool that helps find and fix errors in code.
1-CT,Maintainability,How easy it is to understand, modify and test code.
1-CT,Stepper,A debugging feature that allows code to be executed one line at a time.
1-CT,Breakpoints,Markers set in code where execution will pause during debugging so variables can be inspected.
6-python,Length check,Validation that checks that input has the correct number of characters.
6-python,Presence check,Validation that checks that an input has actually been entered and is not blank.
6-python,Range check,Validation that checks that data falls within a specified range.
6-python,Type check,Validation that checks that data is of the correct data type, such as a number not text.
1-data,Binary,The base-2 number system that uses only the digits 0 and 1; used internally by computers.
2-data,Bit,The smallest unit of data; can store a 0 or 1.
2-data,Nibble,A group of 4 bits.
2-data,Byte,A group of 8 bits; often used to store a single character.
2-data,Denary,The base-10 number system using digits 0–9.
2-data,Kibibyte (KiB),1,024 bytes
2-data,Mebibyte (MiB),1,024 Kibibtyes
2-data,Gibibyte (GiB),1,024 Mebibytes
2-data,Tebibyte (TiB),1,024 Gibibytes
2-binary,Hexadecimal,The base-16 number system using digits 0–9 and A–F.
2-binary,Unsigned Number,A binary number that can only represent positive values.
2-binary,Signed Number,A binary number that can represent positive and negative values, often using two's complement.
2-binary,Two's Complement,A method for representing negative binary numbers by inverting bits and adding one.
2-binary,Overflow Error,An error that occurs when a calculation produces a value that is too large to store in the allocated bits.
2-binary,Binary Addition,Adding binary numbers using rules similar to denary addition with carrying.
2-binary,Binary Shift,Moving all bits in a binary number left or right, effectively multiplying or dividing by powers of two.
2-binary,Logical Shift Left,Shifts all bits left and fills vacated bits with 0; multiplies the value by 2.
2-binary,Logical Shift Right,Shifts all bits right and fills vacated bits with 0; divides the value by 2 (for unsigned numbers).
2-binary,Most Significant Bit (MSB),The leftmost bit in a binary number; represents the highest value place and may store the sign.
2-data,Bitmap Graphic,An image made up of a grid of pixels, each storing a colour value.
2-data,Pixel,The smallest addressable element of an image.
2-data,Resolution,The number of pixels in an image, usually width × height or pixels per inch.
2-data,Colour Depth,The number of bits used to store the colour of each pixel.
2-data,Image File Size,Calculated by width × height × colour depth (in bits), often divided by 8 to get bytes.
2-data-char,Character Encoding,A system that maps characters to binary values, such as ASCII or Unicode.
2-data-char,ASCII,A character set that uses 7 or 8 bits to represent letters, digits and symbols.
2-data-char,Unicode,A character set that can represent characters from many languages using more bits than ASCII.
2-data-compression,Compression,Reducing the size of a file so that it takes up less storage space or transmits more quickly.
2-data-compression,Lossless Compression,Compression that does not lose any data; the original file can be perfectly reconstructed.
2-data-compression,Lossy Compression,Compression that removes some data to reduce file size, reducing quality.
2-data,Metadata,Extra information stored with a file such as dimensions, colour depth or author.
2-data,Analogue Signal,A continuous signal that can take any value within a range.
2-data,Digital Signal,A discrete signal that can only take certain values, such as 0 or 1.
2-data,Amplitude,The height of a wave; in sound, it relates to loudness.
2-data,Sampling,Measuring the amplitude of an analogue signal at regular intervals.
2-data,Sample Rate,The number of samples taken per second, measured in Hertz.
2-data,Sample Interval,The time between samples; the inverse of sample rate.
2-data,Bit Depth (Audio),The number of bits used for each sample; higher bit depth gives more precise sound.
2-data,Sound File Size,Calculated as sample rate × bit depth × number of channels × duration (in seconds).
3-hardware,Control Unit (CU),Part of the CPU that coordinates the activities of the CPU and decodes instructions.
3-hardware,Arithmetic Logic Unit (ALU),Part of the CPU that performs arithmetic calculations and logical operations.
3-hardware,CPU Registers,Very fast small memory locations inside the CPU for temporarily storing data and instructions.
3-hardware,Program Counter (PC),Register that holds the address of the next instruction to be fetched.
3-hardware,Accumulator,Register that stores the result of calculations performed by the ALU.
3-hardware,Address Bus,Carries memory addresses from the CPU to main memory; usually one-way.
3-hardware,Data Bus,Carries data between the CPU, memory and other components.
3-hardware,Control Bus,Carries control signals used to coordinate the CPU and other components.
3-hardware,Clock Speed,Number of cycles the CPU can carry out per second, measured in Hertz.
3-hardware,Clock Cycle,A single pulse of the CPU clock during which one or more operations may be carried out.
3-hardware,Bus Width,The number of bits that can be transferred simultaneously on a bus.
3-hardware,RAM,Volatile main memory used to store data and programs that are currently in use.
3-hardware,ROM,Non-volatile memory that stores data needed to start the computer, such as boot instructions.
3-secondary,Secondary Storage,Non-volatile storage such as hard drives, SSDs and optical discs used for long-term data storage.
3-hardware,Fetch-Decode-Execute Cycle,The process by which the CPU fetches an instruction from memory, decodes it and executes it.
3-secondary,Magnetic Storage,Storage that uses magnetised areas on a disk to represent data.
3-secondary,Optical Storage,Storage that uses lasers to read and write data on optical media such as CDs or DVDs.
3-secondary,Solid-State Storage,Storage that uses flash memory with no moving parts, such as SSDs and USB drives.
3-hardware,Embedded System,A computer system built into another device to perform one dedicated task.
3-hardware,General-Purpose Computer,A computer that can run many different programs and perform many tasks.
3-hardware,Microcontroller,A small computer on a single chip containing a CPU, memory and input/output.
3-hardware,Actuator,A device that converts electrical signals into physical movement.
3-hardware,Sensor,A device that detects or measures a physical property and records, indicates or responds to it.
3-progLang,High-Level Language,A programming language closer to natural language that is easier for humans to read and write.
3-progLang,Low-Level Language,A programming language close to machine code, giving more control over hardware.
3-progLang,Machine Code,Binary instructions that can be executed directly by the CPU.
3-progLang,Assembly Language,Low-level language using mnemonics that correspond to machine code instructions.
3-progLang,Assembler,A translator that converts assembly language into machine code.
3-progLang,Program Translator,Software that converts source code into machine code, such as a compiler or interpreter.
3-progLang,Compiler,Translates the whole source code into machine code before execution.
3-progLang,Interpreter,Translates and executes a program line by line.
3-progLang,Source Code,The original human-readable code written by a programmer.
3-progLang,Executable Code,Machine code produced by a translator that can be run by the CPU.
3-progLang,Operand,The part of an instruction that specifies the data or memory location to use.
3-progLang,Operator (Instruction),The part of an instruction that specifies the operation to perform.
3-progLang,Mnemonic,Short human-readable codes used in assembly language, such as ADD or MOV.
3-software,Proprietary Software,Software owned by an organisation; source code is not available to the public.
3-software,Utility Software,System software that performs maintenance tasks, such as backup or anti-virus.
3-software,Anti-Virus Software,Utility that detects and removes malware.
3-software,Compression Utility,Software used to reduce the size of files.
3-software,Firewall,Software or hardware that monitors and controls incoming and outgoing network traffic.
3-software,Backup Utility,Software that automates copying data to another location for safekeeping.
3-software,System Software,Software that controls the hardware and provides a platform for applications.
3-software,Operating System,System software that manages hardware, provides a user interface and runs applications.
3-software,Memory Management,The part of the OS that allocates and tracks use of main memory.
3-software,Virtual Memory,Using part of secondary storage as if it were RAM when physical RAM is full.
3-software,File Management,Organising files into folders, copying, moving, renaming and deleting files.
3-software,Multitasking,Using scheduling so the CPU appears to run many programs at once.
3-software,Process Scheduling,Deciding which process the CPU should execute next.
3-software,Peripheral Management,Controlling external devices such as printers and monitors using drivers.
3-software,User Management,Managing user accounts, logins and permissions.
3-software,Authentication,Checking the identity of a user before allowing access.
3-software,User Interface,The way in which a user interacts with a computer system, such as a GUI or CLI.
3-software,Device Driver,Software that allows the operating system to communicate with hardware devices.
3-software,Code Review,Checking code written by others for errors and improvements.
3-hardware-software,Robust Software,Software that can cope with errors or unexpected input without crashing.
3-progLang,Assembly Language,A low-level programming language using mnemonics that map directly to machine code instructions.
3-progLang,One-to-One Mapping (Assembly),Each assembly instruction corresponds directly to one machine code instruction.
3-progLang,Benefits of Assembly Language,Easier for humans to read and write than binary; uses mnemonics instead of 0s and 1s.
3-progLang,Advantages of Low-Level Languages,Very fast execution and efficient memory use, giving direct control over hardware.
3-progLang,Drawbacks of Low-Level Languages,Harder to read, write and debug; often machine-specific.
3-progLang,Examples of High-Level Languages,Languages such as Python, Java, C++ and Visual Basic.
3-progLang,Advantages of High-Level Languages,Easier to write, debug and maintain; portable across many systems.
3-progLang,Drawbacks of High-Level Languages,Less control over hardware and generally slower than low-level languages.
4-networks,Network,Two or more computers or devices connected together to share data and resources.
4-networks,Internet,A global network of interconnected computers and networks.
4-networks,LAN,Local Area Network; covers a small geographical area such as a building or campus.
4-networks,WAN,Wide Area Network; covers a large geographical area and connects multiple LANs.
